Datum,Scenarij_1,Scenarij_2,Scenarij_3,Scenarij_4,Scenarij_5,Scenarij_6,Scenarij_7,Scenarij_8,Scenarij_9,Scenarij_10,Scenarij_11,Scenarij_12,Scenarij_13,Scenarij_14,Scenarij_15,Scenarij_16,Scenarij_17,Scenarij_18,Scenarij_19,Scenarij_20,Scenarij_21,Scenarij_22,Scenarij_23,Scenarij_24,Scenarij_25,Scenarij_26,Scenarij_27,Scenarij_28,Scenarij_29,Scenarij_30,Scenarij_31,Scenarij_32,Scenarij_33,Scenarij_34,Scenarij_35,Scenarij_36,Scenarij_37,Scenarij_38,Scenarij_39,Scenarij_40,Scenarij_41,Scenarij_42,Scenarij_43,Scenarij_44,Scenarij_45,Scenarij_46,Scenarij_47,Scenarij_48,Scenarij_49,Scenarij_50,Scenarij_51,Scenarij_52,Scenarij_53,Scenarij_54,Scenarij_55,Scenarij_56,Scenarij_57,Scenarij_58,Scenarij_59,Scenarij_60,Scenarij_61,Scenarij_62,Scenarij_63,Scenarij_64,Scenarij_65,Scenarij_66,Scenarij_67,Scenarij_68,Scenarij_69,Scenarij_70,Scenarij_71,Scenarij_72,Scenarij_73,Scenarij_74,Scenarij_75,Scenarij_76,Scenarij_77,Scenarij_78,Scenarij_79,Scenarij_80,Scenarij_81,Scenarij_82,Scenarij_83,Scenarij_84,Scenarij_85,Scenarij_86,Scenarij_87,Scenarij_88,Scenarij_89,Scenarij_90,Scenarij_91,Scenarij_92,Scenarij_93,Scenarij_94,Scenarij_95,Scenarij_96,Scenarij_97,Scenarij_98,Scenarij_99,Scenarij_100
2020-01-17,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
2020-01-18,50.85,50.16,50.86,50.22,50.32,49.42,50.40,49.22,49.88,49.07,50.82,49.64,49.08,50.08,49.15,50.39,50.04,49.83,50.35,49.02,50.23,49.57,51.22,50.37,50.20,50.05,50.18,50.75,49.42,48.91,50.27,50.05,49.59,50.92,50.73,51.71,49.46,49.95,50.12,49.19,49.81,50.44,50.55,50.63,48.86,50.57,50.84,51.06,49.94,51.37,48.56,50.46,49.52,49.87,50.36,49.31,48.32,50.16,50.50,49.16,50.45,49.42,50.21,50.51,50.79,49.42,50.33,49.46,49.80,50.52,50.29,51.41,50.49,49.58,50.45,49.96,50.09,50.09,50.20,50.50,49.30,49.22,49.86,49.82,49.89,50.08,49.50,49.63,49.78,49.20,50.15,49.98,48.82,50.05,49.63,50.01,51.12,50.72,50.11,49.90
2020-01-19,51.94,50.58,50.91,50.14,50.57,48.72,50.03,48.65,50.62,49.28,50.59,49.81,50.50,49.74,48.70,49.55,50.56,49.68,49.46,49.31,49.16,49.79,51.42,50.43,50.02,50.65,50.57,51.85,48.50,48.03,50.08,50.73,49.42,51.45,52.24,51.76,49.03,48.45,49.56,48.12,50.23,50.29,50.63,50.58,49.34,51.15,52.21,51.01,49.62,50.86,49.39,48.99,49.18,49.41,51.14,49.33,48.07,50.00,50.78,48.48,50.99,48.55,50.39,50.91,51.62,49.07,51.47,49.57,49.91,49.95,50.60,52.02,51.13,48.89,50.51,50.25,50.80,49.96,49.64,50.78,48.73,48.44,49.11,49.44,50.34,49.89,49.06,50.44,50.29,49.23,50.92,50.50,49.62,50.18,49.30,49.44,51.44,50.49,51.50,49.53
2020-01-20,51.23,51.30,51.06,51.73,50.13,49.65,50.42,48.53,50.30,49.22,50.68,49.73,50.37,49.71,48.62,50.84,51.17,49.41,50.37,49.13,48.25,48.54,51.88,50.16,49.66,51.09,52.29,52.91,49.61,47.85,50.06,50.64,49.66,50.62,52.11,51.36,48.80,48.53,49.31,48.66,50.91,50.72,50.81,50.42,49.36,50.61,51.73,50.74,49.47,50.78,50.32,48.90,49.38,49.17,51.74,49.97,48.49,51.70,50.41,48.03,51.64,48.88,50.69,51.81,50.39,49.58,50.41,48.73,49.92,48.83,51.59,52.47,51.07,48.62,50.63,49.77,50.61,50.57,49.72,50.62,48.51,48.91,49.71,48.99,50.34,49.37,49.46,49.74,50.43,48.87,51.11,50.24,50.00,50.64,49.45,49.16,51.72,49.61,51.21,50.37
2020-01-21,52.38,50.60,51.63,50.95,50.50,50.62,51.35,48.42,50.14,48.84,50.47,50.52,49.84,49.72,48.83,50.53,50.86,49.23,52.00,49.01,49.08,48.07,51.72,49.97,49.38,49.70,51.90,53.48,49.27,47.63,49.15,50.27,49.71,51.89,51.61,51.59,48.96,47.47,50.14,48.98,51.08,50.77,49.76,50.27,49.40,49.73,51.39,51.75,49.74,50.60,49.36,47.54,49.75,49.22,52.78,51.48,48.28,51.88,50.23,48.86,51.71,48.80,51.07,52.08,50.30,48.37,51.34,50.76,49.84,48.65,51.63,52.13,50.56,47.56,50.78,49.94,50.79,49.53,49.36,50.25,48.56,50.43,50.22,49.27,50.45,48.22,50.24,50.20,49.37,47.81,51.00,49.59,50.65,51.11,49.86,48.72,51.31,49.85,51.17,49.34
2020-01-22,51.44,49.72,51.31,49.32,50.03,50.44,51.81,48.12,50.83,49.42,50.49,50.79,49.94,49.55,49.57,49.73,50.33,48.45,51.73,47.86,49.76,47.24,51.62,49.59,49.70,49.10,52.14,53.47,49.01,47.17,48.68,50.28,49.46,51.67,52.12,51.36,49.00,47.74,50.46,49.54,51.90,50.40,49.28,50.35,49.23,49.53,51.53,52.26,49.11,50.36,48.93,47.90,49.73,48.04,53.55,51.04,48.85,52.36,49.81,48.01,51.89,48.09,51.42,50.89,50.25,47.50,50.46,51.96,49.53,48.30,51.37,52.37,50.80,46.79,50.89,49.92,50.68,50.06,48.01,50.85,49.28,50.41,49.99,49.12,51.48,48.07,50.16,49.54,48.19,47.91,51.44,49.21,49.67,51.28,50.20,48.79,51.62,51.09,51.14,48.66
2020-01-23,52.15,50.11,51.73,48.24,50.14,50.46,51.82,47.72,50.21,49.43,49.80,49.99,49.77,48.27,49.21,49.63,49.52,49.25,52.27,48.95,49.60,47.31,51.44,49.23,49.63,49.75,52.45,53.37,48.88,47.58,49.31,50.76,49.55,52.56,52.89,51.68,48.98,47.43,51.21,49.94,52.33,50.32,48.79,49.92,48.97,48.98,50.86,51.99,48.32,50.71,49.22,46.86,50.48,46.56,53.76,50.63,49.28,51.73,49.61,47.40,52.18,48.24,52.19,51.22,50.68,45.99,51.87,53.01,49.63,47.86,50.84,51.48,50.28,46.46,50.72,50.39,50.27,49.45,47.60,50.58,48.83,51.55,49.72,48.96,52.10,48.24,49.93,49.59,49.08,46.91,52.44,49.41,49.62,50.93,50.18,48.70,51.67,51.80,51.47,48.48
2020-01-24,52.09,50.13,51.81,47.24,50.19,50.57,52.49,47.87,51.53,49.48,48.56,51.36,49.97,49.53,47.91,49.04,49.37,48.74,52.14,48.74,49.24,46.92,51.69,49.79,49.30,48.98,52.89,53.75,49.55,48.25,49.13,50.78,49.45,52.47,53.70,51.29,49.35,47.24,51.43,50.91,52.19,51.02,48.89,48.57,49.04,47.65,50.84,52.86,48.00,50.40,49.06,47.26,50.66,46.45,54.61,50.41,49.86,51.58,49.61,46.13,53.08,48.47,51.71,51.03,50.51,45.88,51.92,52.64,49.80,47.37,50.79,51.42,50.93,46.45,51.22,50.37,49.56,49.49,46.94,50.92,48.88,50.72,50.05,48.49,52.85,47.94,50.32,47.99,48.15,46.44,53.63,49.20,50.00,50.99,49.98,49.38,51.77,51.86,50.95,47.85
2020-01-25,52.78,50.46,51.51,46.75,49.45,52.08,53.46,48.33,50.70,48.03,47.54,50.30,48.84,49.19,47.89,49.20,48.44,48.36,52.58,48.08,49.46,46.58,52.01,49.26,50.40,48.66,52.08,53.11,50.04,48.22,49.47,49.66,48.58,52.62,52.48,52.29,49.32,47.17,51.31,50.39,50.36,51.79,49.44,49.49,50.56,47.71,50.91,52.82,47.77,50.42,50.54,47.35,51.30,46.42,54.02,50.78,50.21,51.25,49.75,45.99,53.85,48.09,52.39,51.24,50.93,44.41,51.04,52.94,49.42,47.39,50.53,51.44,50.38,46.55,51.39,50.67,49.64,48.57,47.08,50.65,49.46,50.35,51.25,49.01,51.35,47.84,50.79,47.75,49.14,46.59,53.05,49.84,49.03,51.72,49.59,49.07,51.68,51.73,51.36,47.23
2020-01-26,52.47,51.11,51.23,47.44,48.90,53.11,54.00,49.35,51.60,47.75,47.08,50.57,49.95,48.97,48.48,48.97,48.23,47.96,51.36,47.51,48.80,45.47,51.80,50.06,50.84,48.07,51.57,53.58,49.60,47.79,49.42,49.21,49.29,52.72,52.15,53.05,49.51,47.66,51.28,51.62,50.21,51.89,48.84,49.80,50.28,47.50,51.35,53.00,47.94,49.52,50.78,47.71,52.01,46.87,54.40,50.84,50.70,51.48,49.98,46.54,53.80,48.22,52.46,51.33,49.79,44.47,51.27,52.22,48.46,48.00,50.41,50.36,50.34,45.83,50.60,50.73,51.39,48.95,47.53,50.95,48.82,49.10,50.90,49.06,51.26,48.21,50.86,48.00,49.14,47.24,52.69,50.22,48.51,51.20,49.94,48.84,52.30,52.52,51.20,48.10
